Name,Address,,State,City,Phone,Email,PPN
A N N Hospital,81-85  Annai Therasa Street  Valasaravakkam  Indira Nagar,,Tamil Nadu,Chennai,044 - 24869300 / 01 / 02 / 03,annhospitals@gmail.com,Yes
A One Hospital,A-1/7  Paschim Vihar  Main Rohtak Road,,Delhi,New Delhi,011 - 25271177 / 42311177 / 25264085,aonehospital@gmail.com,No
A P Hospital,Ajit Nagar Chowk  Near Sutlan Wind Water Tank  Amritsar,,Punjab,Amritsar,0183-2588450,,Yes
A P Medical Center,SARADHA COLLEGE ROAD NEAR ALAGAPURAM  POLICE STATION,,Tamil Nadu,Salem,,,No
A R Hospital,No. 46/6  Madurai Road,,Tamil Nadu,Ramanathapuram,9655697302,arhospitalramnad@yahoo.com,No
A S Kidney Hospital And Stone Centre Pvt Ltd,1/46  VIJAY ENCLAVE   MAIN DABRI PALAM ROAD  OPP JINDAL PUBLIC SCHOOL ,,Delhi,New Delhi,45502262,KIDNEYSTONEHOSPITAL@GMAIL.COM,No
A V Hospital,No.97  Solaiappan Street  Chennai,,Tamil Nadu,Chennai,044 - 25955859,drselvaraj@avhospitals.com,Yes
A.K Eye Hospital (P) Ltd.,1136 SANJAY NAGAR STADIUM ROAD  BAREILLY,,Uttar Pradesh,Bareilly,2301511,ak.eyehospital03@gmail.com,No
A.R Patil Multispeciality Hospital,Plot No 81B  Regency Icon Commercial Complex,,Maharashtra,Kharghar,7738543332,A.R.PATILHOSPITAL@GMAIL.COM,No
A.R.Hospital (P)ltd,33 P&T Main Road Viswanathapuram,,Tamil Nadu,Madurai,4347995,,No
A1 Hospitals,12-23-32  Anns Srinivasarao Kalyanamandapam Opp: RTC Bus Stand  Kothapet,,Andhra Pradesh,Guntur,2254321,A1HOSPITALS2016@GMAIL.COM,No
A4 Hospital,87  Arcot Road  Virugambakkam  Chennai,,Tamil Nadu,Chennai,7305058474,,Yes
Aa Surgical Speciality Hospital,No:38-D  2nd Cross Street  1st East Main Road  North Anna Nagar  Madurai-625020.,,Tamil Nadu,Madurai,0452 - 4210605 / 2521199,AAHOSPITAL.HAND@GMAIL.COM,No
Aadhar Hospital,OPP. BANK OF INDIA  PUNE-MUMBAI HIGHWAY  DEHU ROAD  PUNE.,,Maharashtra,Pune,65107896,aadhar.hosp@gmail.com,Yes
Aadhar Multispeciality Hospital & I.C.U.,7A 1st Floor Gurusharanam Complex Vishrali Naka Market Yard Road Old Panvel,,Maharashtra,Thane,7450555,AADHARMULTISPECIALITYHOSPITAL@GMAIL.COM,Yes
Aadhya Hospital,siddashree bhavana 2nd floor b.h.road tumakuru,,Karnataka,Tumkur,,,No
Aadit Hospital,Custom Road  Chala  Vapi  Pin 396191  Gujarat,,Gujarat,Valsad,2463232/2464747,AADITHOSPITAL@GMAIL.COM,No
Aadithya Adhikari Hospital,Contour Road   Gokulam,,Karnataka,Mysore,0821 - 2512532 / 2513532,harish_aditya2003@yahoo.com,No
Aaditya Eye And Children Hospital,401 TO 406  4TH FLOOR  AKSHAR PLAZA  NR. GOWARDHAN NATHJI HAVELI  NIZAMPURA,,Gujarat,Vadodara,,,No
Aahana Eye Care Hospital,S-9   Nanakram Super Market   Nr H . H . Patel School   Ramnagar  Sabarmati   Ahmedabad.,,Gujarat,Ahmedabad,079-27570202,DREKTASHAH01@GMAIL.COM,Yes
Aakanksha Maternity & Nursing Home,UNIT NO.301/401/501 NAVKAR BHAVAN RD NO.7 DAULAT NAGAR BORIVALI €,,Maharashtra,Mumbai,0,tpa.aakankshahospital@gmail.com,Yes
Aakash Eye Hospital,f-101-106  201-204  r k casta  near healing touch hospital,,Gujarat,Bharuch,0,,No
Aakash Healthcare,ROAD NO 201   HOSPITAL PLOT  SECTOR 3 DWARKA  NEW DELHI,,Delhi,New Delhi,28088888,TPA@AAKASHHEALTHCARE.COM,Yes
Aakash Hospital,90/43  Malviya Nagar  New Delhi,,Delhi,New Delhi,011 - 41830822 / 41830844 / 41831922,info@aakashhospital.com,Yes
Aakash Hospital,near bus stand  riashi nagar  hisar,,Haryana,Hisar,9896131057,,No
Aakash Hospital,395  Tondairpet High Road  Thiruvottiyur  Chennai - 600019,,Tamil Nadu,Chennai,044 - 25730099 / 25730044/42034109,aakashsrkdr@gmail.com,Yes
Aaloey Phera,72/65 Thanapukur Para Hatabari  Contai,,West Bengal,Midnapore,7980888622,AALOEYPHERA.MEDICLAIM@GMAIL.COM,No
Aalok Orthocare.,8  Vidyavihar Colony  Opp. Hotel Fortune Landmark  Usmanpura Cross Road  Usmanpura,,Gujarat,Ahmedabad,9909983959,mukesh559@yahoo.com,Yes
Aanch Hospital,K-32 INCOME TAX COLONY SL MARG ,,Rajasthan,Jaipur,9929915033,,Yes
Aanvi Endoscopy And Surgery Centre,112-117  1st Floor  Maruti Plaza Complex ,,Gujarat,Bharuch,269995,AANVISURGEYCENTRE@GMAIL.COM,No
Aaradhya Eye Hospital,11 W-2  BARRA BYPASS CHAURAHA,,Uttar Pradesh,Kanpur,8957085434,,No
AARADHYA MULTI SPECIALITY HOSPITAL,C-89  Panchsheel Enclave  Opp. Koyal Enclave Bhopura(loni road),,Uttar Pradesh,Ghaziabad,6524444,AARADHYAHOSPITALS@GMAIL.COM,No
Aaraike Multi Speciality Hospital,gopalagowda extension behind bsnl bhavan sagar road shimoga,,Karnataka,Shimoga,,,No
Aaraike Super Speciality Hospital,#1683/1 NEAR STADIUM HADADI ROAD,,Karnataka,Davanagere,233446/237446,INFO@AARAIKEHOSPITALS.COM,No
Aarav Eye Care And Retina Centre,NO 5 AND 14 BHAIRAV RESIDENCY  KANAKIA ROAD  NEAR CINEMAX THEATRE   MIRA ROAD EAST  THANE,,,,,,
Maharashtra,Maharashtra,,Thane,9769672742,AARAVEYECARE20@GMAIL.COM,Yes,
Aarbee Institute Of Medical Sciences(A Unitof Bilasa Medicals Pvt Ltd),Swarnjayanti Nagar  Ring Road,,Chattisgarh,Bilaspur,413533/400900,OFFICE@AARBEEHOSPITAL.COM,No
Aarna Super Speciality Hospital,FF SHANT PRABHA HEIGHTS,,Gujarat,Ahmedabad,7778025240,MEDICLAIMAASH@GMAIL.COM,Yes
Aarna Superspeciality Hospital(Uro Cure Associate),Opp. Suvidha Shopping Center   Near Parimal Garden Under Bridge,,Gujarat,Ahmedabad,40108108,mediclaim@aashthehospital.com,Yes
Aarogya Healthcare Multispeciality Hospital,ABOVE WOODLAND SHOWROOM  1ST FLOOR,,Madhya Pradesh,Chhindwara,6262640425,,No
Aarogya Hospital,No. 32  Chitra Vihar  Vikas Marg  Behind Lakshmi Nagar District Centre,,Delhi,New Delhi,011 - 22448008 / 22043893,avhrc@rediffmail.com,Yes
Aarogya Hospital,Nh-1  Sector 6  Vaishali,,Uttar Pradesh,Ghaziabad,0120 - 4112222 / 4300072,tpa@aarogyahospital.com,Yes
Aarogya Hospital,City hospital complex  delhi road,,Haryana,Hisar,245450,AAROGYAHOSPITALHISAR@GMAIL.COM,No
Aarogya Hospital,Opp.Kuber Appt. Near Ashoka Tower Chowk  Shankar Nagar,,Chattisgarh,Raipur,0771 - 4044115 / 4265115,aarogya_raipur@yahoo.com,No
Aarogya Hospital Multi Speciality  Center,#101  chandra CHSL  old golden nest phase – 3  mira bhayandar road  thane,,Maharashtra,Thane,,,No
Aarogya Multi Speciality Hospital & Trauma Centre,HERAMBA HEIGHTS OLD MUMBAI PUNE HIGHWAY KHAREGAON NAKA KALWA[W] THANE,,Maharashtra,Thane,022 - 25301999 / 8691078888,AAROGYAHOSPITAL123@GMAIL.COM,Yes
Aarogyam Hospital,Chakan - Talegaon Road  Kharabwadi  Besides Janseva Sehkari Bank,,Maharashtra,Chakan,9960760086,AAROGYAMHOSPITAL2011@GMAIL.COM,Yes
Aarogyam Institute Of Medical Sciences,Walcut Compouned ,,Maharashtra,Amaravati,2571139,,No
Aarogyam Multi Speciality,Shripat Smruti Building,,Maharashtra,Thane,251-2871287/ 7666388041,aarogyamhospital8@gmail.com,Yes
Aarogyam Multispeciality Hospital,Renuka Building  Opp Mangala High School Near Thane Rly Station Thane East Maharashtra,,Maharashtra,Thane,65110086,AAROGYAM2011@GMAIL.COM,Yes
Aarogyam Women And Children Care Hospital,Tv Centre Road,,Maharashtra,Aurangabad,2382054,AAROGYAMHOSPITALAURANGABAD@GMAIL.COM,No
Aartham Multispeciality Hospital,Opp.Govt.Polytecnic College Near Panjrapole Cross road Ambawadi,,Gujarat,Ahmedabad,26306401,,Yes
Aarthy Eye Hospital,#16  Segunthapuram Main Road  Karur,,Tamil Nadu,Karur,04324 - 233163 / 9994923347,rameshpalaniappan@yahoo.com,No
Aarti Eye Hospital,57-E  Tagore Nagar,,Punjab,Ludhiana,161-2300689,drnikhilbansal@yahoo.co.in,Yes
Aarush Ivf And Endoscopy Centre,Prathmesh Harmny ,,Maharashtra,Mumbai,28060051 / 52 / 53,AARUSHIVF@GMAIL.COM,Yes
Aaryan Institute Of Medical Science,Opp : Swaminarayan Temple   Mandvi,,Gujarat,Kutch,02834 - 222526,drkhshah@hotmail.com,No
Aasha Hospital,# 7/201  Court Road  Anantapur  Anantapur,,Andhra Pradesh,Anantapur,08554 - 274194 / 237818,kedarnathstar@gmail.com,No
Aasha Multi Speciality Hospital,1st. Floor rajlaxmi commercial complex  thane bhiwandi RD  Kalher,,Maharashtra,Thane,276046,AASHAHOSPITAL14@GMAIL.COM,Yes
Aashapuri  Hospital,Chamunda CHS Ltd off western exp highway,,Maharashtra,Mumbai,7700049240,ASHAPURIHOSPITALDAHISAR@GMAIL.COM,Yes
Aashirwad Critical Care Unit And Multispeciality Hospital,Navinjyot   RRT Road  Mulund West Mumbai 80,,Maharashtra,Thane,25606500,ACCUNIT@GMAIL.COM,Yes
Aashirwad Eye Hospital,2ND FLOOR  OPAL SQUARE  WATER TANK ROAD  KARELIBAUG,,Gujarat,Vadodara,,,No
Aashirwad Hospital,Om Shardha Towers  2nd Floor  Above Thane Janata S  Kalyan (E) Thane  Kalyan (W),,Maharashtra,Mumbai,0251 - 2358075,aashirwadkalyan@gmail.com,Yes
Aashirwad Hospital,Rama Mandi   Near Nangel Shama Chowk   Jalandher Cantt,,Punjab,Jalandhar,0181 - 2411458,aashirvadjrc@gmail.com,No
Aashirwad Nursing Home Heart And Diabetes Center,A-29/3.Lions Enclave  Marble Block  Opp. Dda Park  Vikas Nagar  Uttam Nagar,,Delhi,New Delhi,011-25356545,aashirwadnursinghome@gmail.com,Yes
Aashka Multispeciality Hospital,NEAR NID & DHIRUBHAI AMBANI IICT CAMPUS MAHATMA MANDIR TO GIFT CITY ROAD,,Gujarat,Gandhi Nagar,29750750,INFOAHOSPITALS.IN@AASH.com,Yes
Aashlok Hospital.,A-25  BLOCK AB  SAFDARJUNG ENCLAVE,,Delhi,New Delhi,011-46165901 - 10,insurance.aashlok@fortishealthcare.com,Yes
Aashray Urology Institute,# 80/A  Sampatrao Colony  Off R C Dutt Road,,Gujarat,Vadodara,0265 - 2356295 / 3299449,ashit@aashrayuro.com,No
Aashraya Hospital,Tagore Raod  1st Cross  Gadag.,,Karnataka,Gadag,277009,aahrayahospitalgadag@gmail.com,No
Aashutosh Orthopedic Hospital,Opp Ahir Boarding Near PWD quarter K D Jewellers Street  Amber Talkies Road.,,Gujarat,jamnagar,0288-2675500,DRMILINDMP@GMAIL.COM,No
Aastha Critical Care And Avatar Meher Baba Hospital,Plot No. 86  Opp Balaji Sabhagruha Suyog Nagar,,Maharashtra,Nagpur,712-2789943,drpiyushshinde@gmail.com,No
Aastha Eye Care,A-205  ORCHID CENTRE  OPP. SAFAL PARISAR 1   SOUTH BOPAL  AHMEDABAD   PINCODE-380058,,Gujarat,Ahmedabad,02717-298099,,Yes
Aastha Eye Centre,5r/5 N.I.T Faridabad  Behind Neelam Petrol Pump,,Haryana,Faridabad,0129 - 4311073 / 2423378 / 2417066,aasthaeyecentrefaridabad@gmail.com,Yes
Aastha Health Care,Mulund Colony  Opp Lbs Road  Opp Chheda Petrol Pump  Mulund (W),,Maharashtra,Mumbai,022 - 25628262 / 63 / 64 / 65,admin@aasthahealthcare.com,Yes
Aastha Hospital,250/3351 TAGOR NAGAR GROUP NO.2 VIKHROLI €,,Maharashtra,Mumbai,25742211,,No
Aastha Hospital,65  Balasinor Society  S V Road  Opp. Fire Birgade  Kandivali West  Mumbai  Maharashtra-400067,,Maharashtra,Mumbai,28010700 / 28010800,AASTHAHOSPITAL07@GMAIL.COM,Yes
Aastha Hospital & Diagnostic Centre,10 21 & 22 Third Floor Uma Plaza Opp.Sai Darshan Residency Dindoli Kharwasa Main Road  Dindoli Surat,,Gujarat,Surat,6355099200/6355080151,,No
Aastha Hospital And I.C.U.,c-4/8/2 Central Excise Road Near Horizone Hotel ,,Gujarat,Ankleshwar,222050,AASTHAHOSPITAL.ICU@GMAIL.COM,No
Aastha Hospital New Delhi,L-2/50  New Mahavir Nagar  Opp.Kagra Niketan,,Delhi,New Delhi,011-25993047,drsanjayjain2003@yahoo.com,Yes
Aastha Lok Hospital Pvt Ltd,N/4  Professor Colony  Near Kendiya Vidyalaya  Kankarbagh  Patna,,Bihar,Patna,612-3212153/54,AASTHALOKHOSPITAL@GMAIL.COM,No
Aastha Maternity And Nursing Home,101 BHOOMI RESIDENCY VAISHAT PADA-2 NEXT TOTRIVENI NAGAR KURAR VILLAGE MALAD(E),,Maharashtra,Mumbai,28427929,aastha400097@gmail.com,Yes
Aastha Multispeciality Hospital,Nr. Patel wadi karamadi road  nava bazar karjan,,Gujarat,Vadodara,9512130040 / 9512130050,aasthamultispecialityhospital1@gmail.com,No
Aastha Nursing Home,126  J. P Road ,,Maharashtra,Mumbai,022 - 26771432,,Yes
Aaxis Hospital,NO. 786  NO. 29-1 AND 30 BELLATHUR VILLAGE,,Karnataka,Bengaluru,7090000384,AAXISHOSPITALS@GMAIL.COM,Yes
Aayug Multi Specialty Hospital,# 477 1st Main  B Block Aecs Layout  Kundanahalli,,Karnataka,Bengaluru,80-65989427 / 65705051,medicaldir@aayug.in,Yes
Aayush Eye Clinic,201  Coral Classic  20th Road,,Maharashtra,Mumbai,022 - 25288306,aayusheye@yahoo.com,Yes
Aayush Hospital,Building No E 2  2nd & 3rd Floor  Radha Nagar Shopping Centre  Khadakpada-Kalyan West  Thane -,,Maharashtra,Thane,0251 - 2231162 / 2231160,AAYUSH_HOSPITAL@YAHOO.CO.IN,Yes
Aayush Hospital,Plot No. 41-42  Near Azad Weigh Bridge  Nh No.8,,Gujarat,Vapi,0260 - 2425040 / 2426040,hospitalaayush@gmail.com,No
Aayush Multispeciality Hospital,1st Floor  Mari Gold Apt.  Opp Nitin Company  Panchpakhadi Thane West,,Maharashtra,Thane,022-8691033000,,Yes
Aayush Nri Lepl Health Care Pvt Ltd,48-13-3 & 3a Opp.Siddharth Medical College Ring Road,,Andhra Pradesh,Vijayawada,866-2541414,aayushhospitals4u@gmail.com,No
Aayushman Clinic,Plot No 6  Road No 16  Sector 19  New Panvel,,Maharashtra,Navi Mumbai,022 - 27460339,SHAILESHNPSHARMA@YAHOO.CO.IN,No
Aayushman Hospital,#14-38-1  opp. american hospital  Z.P. junction  visakhapatnam,,Andhra Pradesh,Visakhapatnam,8912558888,,No
Abane Hospital,Parmar Complex  Ground Floor  Behind Lokseva Hanuman Mandir  Gadital   Hadpsar,,Maharashtra,Pune,20-26993128,sachinabane@yahoo.com,No
Abg Hospital,Mahmoodpur  Barse  aligarh road  Hathras,,Uttar Pradesh,Hathras,0,0,No
Abhay Institute Of Medical Sciences,Hariu  Gaya Dobhi Road  Opp To Gaya International Airport,,Bihar,Gaya,2210555/2210777,aimsgayabihar@gmail.com,No
Abhay Medical Hospital,Opp Dudhsagar dairy,,Gujarat,Mehsana,9909534554,KETANCRAZY001@YAHOO.COM,No
Abhaya Bbc Childrens Hospital,2-1-569  Vidyanagar,,Telangana,Hyderabad,040 - 27653266,abhayabbc@gmail.com,Yes
Abhaya Hospital,17 Dr. M.H. Mari Gowda Road(Hosur Road)  Opp. Park Area Wilson Garden Bangalore - 560027,,Karnataka,Bengaluru,080 - 26563865 / 26564586 / 26566767,abhayahospital@live.in,Yes
Abhaya Multispeciality Hospital,D.NO: 33-18-02  CHALASANI VENKATA KRISHNAIAH STREET,,Andhra Pradesh,Vijayawada,3553561,ABHAYAHOSPITALS.CREDIT@GMAIL.COM,No
Abhayahasta Multispeciality Hospital,#347/247 2ND CROSS  KAGADASAPURA MAIN ROAD CV RAMAN NAGAR,,Karnataka,Bengaluru,25349911,INSURANCE@ABHAYAHASTAHOSPITALS.COM,Yes
Abhi Eye Hospital,JOTHI NAGAR  ATTUR - SALEM,,Tamil Nadu,Salem,4282-250739,,No
Abhi S.K. Hospital,153  SATHY MAIN ROAD  NALLAGOUNDANPALAYAM  KARATTADLPALAYAM POST ,,Tamil Nadu,Gobichettipalayam,240131,info@abhiskhospital.com,No
Abhijay Hospital,22/2 Esi Hospital Road  Peravallur (Perambur),,Tamil Nadu,Chennai,044 - 49015050  / 9361575757,cashless@abhijayhospitals.com,Yes
Abhilash Netra Vydyasala,3/1350  Gandhi road  Proddatur,,Andhra Pradesh,Proddatur,0,,No
"Abhilasha Eye Hospital, Roorkee",Railway road  roorkee  haridwar distt.,,Uttarakhand,Roorkee,272586,ABHILASHAEYEHOSPITAL@GMAIL.COM,No
Abhilasha Hospital,# 201/ 35 Sector  Chandigargh,,Haryana,Chandigarh,0172 - 2606557 / 2623701,renutayal@gmail.com,No
Abhiman Kidney Centre,10e  D3 D3 Road  Balarengapuram  Opposite To Nadana Theatre  Madurai-625 009.,,Tamil Nadu,Madurai,452-2323654,akcmdu9@gmail.com,No
Abhinav Drishti Eye Hospital,B-719  Sec C   Mahanagar,,Uttar Pradesh,Lucknow,0522 - 2335122 / 2335144,abhinavdrishti@gmail.com,No
Abhinav Eye Care Centres,PLOT NO: 10-102-61/594  OM VIHAR COLONY  MEDIPALLY  BEHIND APEX HOSPITAL  HYDERABAD-500089,,Telangana,Hyderabad,27203580,AECCINSURANCE@GMAIL.COM,No
Abhinav Maternity And General Hospital,chowre arcade Near Civic Centre,,Maharashtra,Palghar,2405254/2405253,CASHLESSABHINAV@GMAIL.COM,Yes
Abhiram Institute Of Medical Sciences,Opp To Apsrtc Depo  Atmakur  Spsr Nellore (Dt)-524322,,Andhra Pradesh,Nellore,223399,ANIL.MAHI06@GMAIL.COM,No
Abhishek Hospital,3-B-Iiird  Moti Doongri Road  Near Dharam Singh Circle,,Rajasthan,Jaipur,4048059,cosmeticakhilesh@gmail.com,Yes
Abhishek Hospital,Shivalik Complex  Subhanpura Main Road  Shivalik Complex  Subhanpura Main Road,,Gujarat,Vadodara,0265 - 2290102 / 229216,abhishekhospital@yahoo.com,No
Abhishek Nethradham,# Hig 2024  3rd Cross B Sector Icici Bank Road Near Sbi Yelahanka New Town,,Karnataka,Bengaluru,80-40933219,abhisheknethradhama@yahoo.in,No
Abhishek Nursing Home,Jagruti Co-Op. Soc.  Near Maratha Mandir Bank  Bhatwadi  Ghatkopar (W)  Mumbai - 400084,,Maharashtra,Mumbai,022 - 25106518 / 25106577,avinash62@yahoo.com,Yes
Abhyankar Orthopaedic Hospital,FIRST FLOOR  SIMRANELEGANCE  NEXT TO THAKUR HALL  BEHIND VASHI BUS STOP ,,Maharashtra,Dombivli (E),2863836,,No
Abinand Hospital,237-F  Pollachi Main Road,,Tamil Nadu,Coimbatore,0422 - 2673810,obinand.hospital@gmail.com,Yes
Abiraami Hospital,No.12  Alagappa Nagar  Cuddalore,,Tamil Nadu,Cuddalore,04142 - 222119,DRSPANDIANORTHO@YAHOO.COM,No
Abirami Kidney Care Dr Thngavelu Hospital,no.26 chinnamuthu second street edayankattu valasu Erode,,Tamil Nadu,Erode,,,No
Abm Hospital,5 MOTIA TALAB ROAD OPP.TAJ-UL-MASAJID BHOPAL,,Madhya Pradesh,Bhopal,7552548008,,No
Abs Hospital Multi Speciality,No. 161 B/5 Siyasakthi Nagar,,Tamil Nadu,Karur,4324-255300 / 255301,abshospital@gmail.com,No
Acchutha Eye Care,H-3  Evn Road  Periyar Nagar  Surampatti Naal Road,,Tamil Nadu,Erode,4030804,acchuthaeyecare@gmail.com,Yes
Accident And Fracture Clinic,Kasturba Road  Behind Civil Hospital  Hospital Ward  Chandrapur,,Maharashtra,Chandrapur,07172 - 254151 / 255151 / 09823111451,ajayduddalwar@gmail.com,No
Accident And Fracture Hospital,Opp. Alembic Nayar,,Gujarat,Vadodara,0265 - 2281616,pankaj3760@gmail.com,No
Accord Hospitals Pvt Ltd,Mundra Road,,Gujarat,Bhuj,02832 - 230033 / 231033,accordhospital@gmail.com,No
Ace Heart And Vascular Institute,Sec 69   Mohali  Near Shivalik Hospital  Mohali,,Punjab,Mohali,0172 - 5058888 / 5058899,aceheartinstitute@gmail.com,Yes
Ace Hospital,S No. 32/2a  Erandwane  Behind Mehendale Garage   Pune-411004,,Maharashtra,Pune,020 - 5434063 / 5434072,acehospitalpune@gmail.com,No
Acharya Clinic,3/845 - B   Bharathi Nagar  Paramakudi,,Tamil Nadu,Paramakudi,04654 - 227825,,No
Acharya Nursing Home,88/89  Shree Jay Ambe Co-Op Soc.  Opp. Gorwa Work Shop  Subhanpura,,Gujarat,Vadodara,0265 - 2390378,dracharya.anh@gmail.com,No
Acharya Shri Chander College Of Medical Sciences And Hospitals,Nh-By Pass (P.O. Majeen) Sidhra  Jammu,,Jammu Kashmir,Jammu,0191-2662114,ascoms.liaison@yahoo.in,No
Acharyashri Nanesh Hospital,Plot No.34 To 37  Sector-8a  Jain Mandir Lane  Artist Village  Cbd Belapur,,Maharashtra,Kharghar,27577790,NANESHHOSPITAL@GMAIL.COM,Yes
Aci-Cumballa Hill Hospital,93/95 AUGUST KRANTI MARG,,Maharashtra,Mumbai,,,No
Action Cancer Hospital,Fc-34  A-4  Paschim Vihar,,Delhi,New Delhi,11-49222222,panel@actioncancerhospital.com,Yes
Adani Hospitals Mundra Pvt Ltd,Old Port Road  Nr Samindra Township  Mundra Sez,,Gujarat,Mundra,2838-619555,corpdesk@adanihospitals.com,No
"Adarsh E.N,T. Surgical Hospital",6-7  ADARSH MARKET  PANCH BATTI,,Gujarat,Bharuch,,,No
Adarsh General And Maternity Nursing Home,Behind Ghatkopar Industrial Estate  Ghatkopar (West),,Maharashtra,Mumbai,022 - 25002288 / 25007853,ADARSH.MATERNITY.NH@GMAIL.COM,No
Adarsh Multi Speciality Hospital,No.1943  6th Cross  1st A Main  Kengeri Satellite Town  Bangalore,,Karnataka,Bengaluru,080-28485101,adarshhospital12@yahoo.in,No
Adarsh Sukhsagar Hospital,Rajopatti  Main road,,Bihar,Sitamarhi,7319813141,ADARSHSUKHSAGARBIHAR@GMAIL.COM,No
Adarsh Super Speciality Eye Hospital,kuvempu road near jail circle shivamoga,,Karnataka,Shimoga,,,No
Adarsha Hospital,N H 17  Kundapura  Udupi Dist,,Karnataka,Kundapura,08254 - 230580,adarsh72@sancharnet.in,No
Adarsha Multispeciality Hospital,Near Service Sus Stand  Udupi,,Karnataka,Udupi,0820 - 2535289 / 2535290 / 2535291 / 2535292,claims.adarsha@gmail.com,No
Adarsha Nethralayam,Mandi Bazar  Warangal  Warangal,,Telangana,Warangal,0870 - 2426555,anandraokesharaju@gmail.com,No
Adarsha Nursing Home,Opp. M G Stadium  Tumkur - 572102,,Karnataka,Tumkur,0816 - 2272579 / 2273566,anhtmk@gmail.com,No
Adayar P M Hospital And Research Centre Pvt Ltd,No. 58  Lattice Bridge Road  Adayar,,Tamil Nadu,Chennai,044 - 24412000 / 24422001,adyarpmhospital@gmail.com,No
Add Hospital Pvt Ltd,Junus Patna College Square,,Odisha,Cuttack,0671 - 2648730,addhospital@gmail.com,No
Adinath Ent And Genaral Hospital,B-102 A Udaimarg Tilak Nagar,,Rajasthan,Jaipur,2392298,HOSPITALADINATH@GMAIL.COM,Yes
Adithya Hospital,Bogulkunta Tilak Road,,Telangana,Hyderabad,040 - 39111333,cb@adityahospital.com,Yes
Aditi Hospital,185/R  ALHAD  P.K.Road  Opp Kalidas Sport Complex  Mulund -West  Mumbai-400080,,Maharashtra,Mumbai,61116729 /30,TPA@ADITIHOSPITAL.NET,Yes
Aditi Hospital,Gandhi Square  Newpet  Anekal,,Karnataka,Bangalore Rural,080 - 27830090,aditihospitalanekal@rediffmail.com,No
Aditi Hospital(Malad),1st Floor Param Ratan Apt Opp.New Post Office Jakaria Road Malad(W)-64,,Maharashtra,Mumbai,022 - 28882278 / 28882279,anita.vyas0@gmail.com,Yes
Aditya Birla Health Services Ltd,Survey No.31  Near Morya Mangal Karyalay   Thergaon  Pune,,Maharashtra,Pune,020 - 30717500 / 30707500,abmh.tpa@adityabirla.com,Yes
Aditya Birla Hospital,NEAR BAJRANG SOCIETY  OPP. HANUMAN TEMPLE  VERAVAL,,Gujarat,Veraval,240015/16,,No
